Номер Поколения;Среднее значение критической точки;Дисперсия;СКО;Коэфф. Стьюдента;Ошибка среднего;Начало Дов. Интервала;Конец  Дов. Интервала;Доверительная вероятность;Кол-во измерений;
0;0;0;0;1.96;0;0;0;0.95;0;
1;296.6674;44150.87;210.1211;1.96;2.349225;292.0629;301.2719;0.95;8000;
2;297.0496;44040.52;209.8583;1.96;2.346287;292.4509;301.6483;0.95;8000;
3;293.706;44552.27;211.0741;1.96;2.35988;289.0806;298.3314;0.95;8000;
4;296.8141;45451.14;213.1927;1.96;2.383567;292.1423;301.4859;0.95;8000;
5;302.1031;46742.47;216.2001;1.96;2.41719;297.3654;306.8408;0.95;8000;
6;297.942;45133.79;212.4471;1.96;2.375231;293.2865;302.5974;0.95;8000;
7;300.4153;45227.28;212.6671;1.96;2.37769;295.755;305.0755;0.95;8000;
8;299.2719;43049.58;207.4839;1.96;2.319741;294.7252;303.8186;0.95;8000;
9;309.1579;43226.59;207.9101;1.96;2.324505;304.6018;313.7139;0.95;8000;
10;305.6199;45010;212.1556;1.96;2.371972;300.9708;310.269;0.95;8000;
11;306.0854;44292.67;210.4582;1.96;2.352995;301.4735;310.6973;0.95;8000;
12;306.2102;43709.23;209.0675;1.96;2.337446;301.6288;310.7916;0.95;8000;
13;307.6107;42520.42;206.2048;1.96;2.30544;303.0921;312.1294;0.95;8000;
14;305.9295;43497.07;208.5595;1.96;2.331766;301.3593;310.4998;0.95;8000;
15;302.806;42297.48;205.6635;1.96;2.299388;298.2992;307.3128;0.95;8000;
16;305.1311;43337.33;208.1762;1.96;2.327481;300.5693;309.693;0.95;8000;
17;301.2846;43704.77;209.0569;1.96;2.337327;296.7035;305.8658;0.95;8000;
18;303.0116;44634;211.2676;1.96;2.362044;298.382;307.6412;0.95;8000;
19;307.164;44669.51;211.3516;1.96;2.362983;302.5326;311.7954;0.95;8000;
20;306.4781;45712.63;213.8051;1.96;2.390414;301.7929;311.1633;0.95;8000;
21;305.895;45249.62;212.7196;1.96;2.378277;301.2336;310.5564;0.95;8000;
22;302.6042;45115.91;212.4051;1.96;2.374761;297.9497;307.2588;0.95;8000;
23;303.1469;45409.04;213.094;1.96;2.382463;298.4773;307.8165;0.95;8000;
24;303.0435;45531.03;213.38;1.96;2.385661;298.3676;307.7194;0.95;8000;
25;302.6338;45596.43;213.5332;1.96;2.387374;297.9545;307.313;0.95;8000;
26;298.5019;43636.07;208.8925;1.96;2.335489;293.9243;303.0794;0.95;8000;
27;297.6195;43593.95;208.7916;1.96;2.334361;293.0442;302.1949;0.95;8000;
28;298.4155;44048.8;209.8781;1.96;2.346508;293.8163;303.0146;0.95;8000;
29;296.0038;43016.48;207.4041;1.96;2.318849;291.4588;300.5487;0.95;8000;
30;294.2322;41872.66;204.6281;1.96;2.287812;289.7481;298.7163;0.95;8000;
31;293.6421;42704.79;206.6514;1.96;2.310432;289.1137;298.1706;0.95;8000;
32;290.3473;42721.68;206.6922;1.96;2.310889;285.8179;294.8766;0.95;8000;
33;289.7861;42567.07;206.3179;1.96;2.306704;285.265;294.3073;0.95;8000;
34;292.8429;42951.88;207.2484;1.96;2.317107;288.3013;297.3844;0.95;8000;
35;292.201;42666.73;206.5593;1.96;2.309403;287.6746;296.7274;0.95;8000;
36;288.7625;42361.96;205.8202;1.96;2.30114;284.2523;293.2727;0.95;8000;
37;295.0429;43362.95;208.2377;1.96;2.328168;290.4797;299.6061;0.95;8000;
38;292.8011;42527.35;206.2216;1.96;2.305628;288.2821;297.3202;0.95;8000;
39;291.2899;42466.02;206.0729;1.96;2.303965;286.7741;295.8057;0.95;8000;
40;291.2798;43891.23;209.5023;1.96;2.342307;286.6888;295.8707;0.95;8000;
41;286.7275;42273.95;205.6063;1.96;2.298748;282.222;291.2331;0.95;8000;
42;290.9537;42251.46;205.5516;1.96;2.298137;286.4494;295.4581;0.95;8000;
43;287.9748;41201.18;202.9807;1.96;2.269393;283.5268;292.4228;0.95;8000;
44;287.6106;40824.02;202.0495;1.96;2.258982;283.183;292.0382;0.95;8000;
45;285.3433;40131.81;200.3293;1.96;2.239749;280.9533;289.7332;0.95;8000;
46;290.4535;41869.7;204.6209;1.96;2.287731;285.9695;294.9374;0.95;8000;
47;289.081;41338.24;203.3181;1.96;2.273165;284.6256;293.5364;0.95;8000;
48;290.2255;41183.02;202.936;1.96;2.268893;285.7785;294.6725;0.95;8000;
49;290.9595;41333.11;203.3055;1.96;2.273024;286.5044;295.4146;0.95;8000;
50;292.4509;41570.8;203.8892;1.96;2.279551;287.9829;296.9188;0.95;8000;
51;285.6406;40045.86;200.1146;1.96;2.237349;281.2554;290.0258;0.95;8000;
52;289.1818;40710.52;201.7685;1.96;2.25584;284.7603;293.6032;0.95;8000;
53;289.4304;42176.19;205.3684;1.96;2.296089;284.9301;293.9307;0.95;8000;
54;287.3155;41087.36;202.7002;1.96;2.266257;282.8736;291.7574;0.95;8000;
55;286.6823;42124.27;205.242;1.96;2.294675;282.1847;291.1798;0.95;8000;
56;292.6418;42303.48;205.6781;1.96;2.299551;288.1346;297.1489;0.95;8000;
57;290.4731;40782.98;201.948;1.96;2.257847;286.0477;294.8985;0.95;8000;
58;294.98;40783.31;201.9488;1.96;2.257856;290.5546;299.4054;0.95;8000;
59;290.6125;40551.57;201.3742;1.96;2.251432;286.1997;295.0253;0.95;8000;
60;293.1747;42664.41;206.5537;1.96;2.30934;288.6484;297.701;0.95;8000;
61;292.7909;41808.82;204.472;1.96;2.286067;288.3102;297.2715;0.95;8000;
62;292.9149;41144.23;202.8404;1.96;2.267825;288.4699;297.3598;0.95;8000;
63;295.6218;42150.25;205.3053;1.96;2.295383;291.1228;300.1207;0.95;8000;
64;292.247;42055.96;205.0755;1.96;2.292814;287.7531;296.7409;0.95;8000;
65;290.1397;40893.11;202.2204;1.96;2.260893;285.7084;294.5711;0.95;8000;
66;292.978;40951.31;202.3643;1.96;2.262502;288.5435;297.4125;0.95;8000;
67;289.2169;41637.68;204.0531;1.96;2.281383;284.7454;293.6884;0.95;8000;
68;294.1902;42083.63;205.1429;1.96;2.293568;289.6949;298.6856;0.95;8000;
69;294.7049;42044.28;205.047;1.96;2.292495;290.2116;299.1982;0.95;8000;
70;293.4061;41609.32;203.9836;1.96;2.280606;288.9361;297.8761;0.95;8000;
71;292.1229;41026.4;202.5497;1.96;2.264575;287.6843;296.5614;0.95;8000;
72;290.0623;41876.02;204.6363;1.96;2.287904;285.578;294.5465;0.95;8000;
73;293.9935;42911.99;207.1521;1.96;2.316031;289.4541;298.5329;0.95;8000;
74;296.3371;41901.29;204.6981;1.96;2.288594;291.8515;300.8228;0.95;8000;
75;294.0073;39194.97;197.9772;1.96;2.213452;289.6689;298.3456;0.95;8000;
76;293.7693;41564.75;203.8743;1.96;2.279384;289.3017;298.2368;0.95;8000;
77;296.4738;41622.21;204.0152;1.96;2.280959;292.0031;300.9444;0.95;8000;
78;297.1434;41187.08;202.946;1.96;2.269005;292.6961;301.5906;0.95;8000;
79;294.2334;42723.88;206.6976;1.96;2.310949;289.7039;298.7628;0.95;8000;
80;290.0171;40860.36;202.1395;1.96;2.259988;285.5876;294.4467;0.95;8000;
81;292.2084;41929.82;204.7677;1.96;2.289373;287.7212;296.6956;0.95;8000;
82;292.6988;40794.64;201.9768;1.96;2.25817;288.2727;297.1248;0.95;8000;
83;291.0851;40889.29;202.211;1.96;2.260788;286.654;295.5163;0.95;8000;
84;290.1655;39458.37;198.6413;1.96;2.220877;285.8126;294.5184;0.95;8000;
85;294.7148;40359.48;200.8967;1.96;2.246093;290.3124;299.1171;0.95;8000;
86;291.6462;41394.44;203.4562;1.96;2.27471;287.1878;296.1047;0.95;8000;
87;292.7747;41698.85;204.203;1.96;2.283059;288.3;297.2495;0.95;8000;
88;293.274;42114.34;205.2178;1.96;2.294405;288.7769;297.771;0.95;8000;
89;291.1895;41031.66;202.5627;1.96;2.26472;286.7507;295.6284;0.95;8000;
90;294.1771;41323.66;203.2822;1.96;2.272764;289.7225;298.6317;0.95;8000;
91;293.9759;39749.69;199.3732;1.96;2.22906;289.6069;298.3448;0.95;8000;
92;291.2216;41162.63;202.8858;1.96;2.268332;286.7757;295.6675;0.95;8000;
93;294.3255;41593.14;203.944;1.96;2.280163;289.8564;298.7946;0.95;8000;
94;294.3553;41791.6;204.4299;1.96;2.285596;289.8755;298.835;0.95;8000;
95;296.5416;42716.14;206.6788;1.96;2.31074;292.0126;301.0707;0.95;8000;
96;291.3164;40851.87;202.1185;1.96;2.259753;286.8873;295.7455;0.95;8000;
97;293.6592;42661.4;206.5464;1.96;2.309259;289.1331;298.1854;0.95;8000;
98;293.6481;41090.69;202.7084;1.96;2.266349;289.2061;298.0902;0.95;8000;
99;291.889;41747.15;204.3212;1.96;2.28438;287.4116;296.3664;0.95;8000;
